Deity,Portfolio,Pantheon,Divine Rank,Alignment,Symbol,Suggested Domains,Favoured Weapon,Divine Elements
Odin,"Allfather, God of Knowledge and War",Norse (Aesir),Greater Deity,Chaotic Good,Watching blue eye,"Knowledge, War, Arcana",War Spear,Force
Frigg,Goddess of Birth and Fertility ,Norse (Aesir),Intermediate Deity,Neutral,Cat,"Life, Knowledge",Natural / Unarmed,Radiant
Thor,"God of Strength, Storms and Thunder",Norse (Aesir),Intermediate Deity,Chaotic Good,Hammer,"Tempest, Forge",Warhammer,"Thunder, Lightning"
Heimdall,God of Watchfulness and Loyalty ,Norse (Aesir),Intermediate Deity,Lawful Good,Curling musical horn,"Light, Order",Longsword,Radiant
Sif,Goddess of the Earth and Harvest,Norse (Aesir),Intermediate Deity,Neutral Good,Golden wheat sheath,"Life, Nature",Sickle,Radiant
Tyr,God of Law and Honor,Norse (Aesir),Intermediate Deity,Lawful Good,Sword,"War, Order",Longsword,Radiant
Baldr,God of Light and Purity ,Norse (Aesir),Intermediate Deity,Neutral Good,Silver chalice,"Life, Light",Natural / Unarmed,Radiant
Forseti,God of Reconciliation and Judgement ,Norse (Aesir),Intermediate Deity,Neutral,Head of a bearded man,"Order, Peace",Quarterstaff,Radiant
Ullr,Lord of Winter and the Frozen Wilds ,Norse (Aesir),Intermediate Deity,Chaotic Neutral,Longbow,"Hunt, Nature",Longbow,Cold
Freyja,Goddess of Magic and Beauty,Norse (Vanir),Intermediate Deity,Neutral Good,Falcon,"Grave, Arcana",Dagger,Psychic
Freyr,God of Peace and Kingship ,Norse (Vanir),Intermediate Deity,Neutral Good,Ice-blue greatsword,"Peace, Order",Greatsword,Radiant
Njörðr ,God of the Sea and Seafaring ,Norse (Vanir),Intermediate Deity,Neutral Good,Gold coin,"Order, Tempest",Spear,Radiant
Loki,God of Trickery and Shaper of Fate ,Norse (Jötunn),Intermediate Deity,Chaotic Evil,Two headed snake,"Trickery, Arcana",Dagger,Poison
Hel,Goddess of the Underworld ,Norse (Jötunn),Lesser Deity,Neutral Evil,"Woman’s face, half rotting","Death, Grave",Scythe,Necrotic
Ægir ,Lord of the Deep Ocean ,Norse (Jötunn),Lesser Deity,Neutral Evil,Rough ocean waves,Tempest,Spear,Acid
Skaði,Huntress of the Frozen Waste ,Norse (Jötunn),Lesser Deity,Neutral,Mountain peak,"Nature, Hunt",Longbow,Cold
Surtur,God of the Fire Giants,Norse (Jötunn),Lesser Deity,Lawful Evil,Flaming sword,War,Greatsword,Fire
Thrym,God of the Frost Giants,Norse (Jötunn),Lesser Deity,Chaotic Evil,White double-bladed axe,War,Greataxe,Cold
